time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025120,602.1,244.0,1289.6,88.8,2566.5,355.8,3012.2,641.1,653.2,1273.7,2621.7,3076.5,0,87.3,0.8
0.027120,600.6,317.2,1290.2,110.6,2650.9,363.7,2920.6,1048.2,653.1,1273.3,2615.3,3080,0,87.9,-1.4
0.029120,609.8,372.2,1289.4,147.0,2671.7,293.2,2953.6,1679.6,653,1272.7,2604.9,3085.6,0,88.4,-2.6
0.031120,640.7,385.4,1291.8,202.4,2661.2,273.4,3204.4,2433.3,652.8,1271.8,2590.7,3093,0,88.6,-3.4
0.033120,681.9,342.5,1293.4,265.1,2648.5,307.7,3493.2,2518.3,652.6,1270.7,2573.2,3102.1,0,88.6,-3.8
0.035120,708.8,270.7,1276.0,294.7,2622.9,448.7,3115.8,1269.5,652.2,1269.4,2552.9,3112.3,0,88.4,-4
0.037120,716.8,213.2,1245.3,271.2,2483.4,515.9,3045.6,545.5,651.7,1268,2530.4,3123.3,0,88,-3.8
0.039120,706.0,169.1,1220.0,217.7,2409.3,367.1,3068.3,305.5,651,1266.5,2506.5,3134.5,0,87.6,-3.2
0.041120,681.2,129.9,1216.4,163.3,2391.4,260.1,3086.7,217.8,650.2,1265,2481.6,3145.6,154.4,87.3,-2.2
0.043120,656.4,97.2,1233.3,123.1,2390.9,203.8,3114.4,201.7,649.2,1263.5,2456.6,3156,154.2,87,-1
0.045120,640.3,77.0,1252.5,98.3,2390.9,171.0,3162.4,221.1,647.9,1262,2432.2,3165.5,154.1,86.8,0.5
0.047120,632.2,65.3,1262.5,84.0,2380.0,139.1,3218.6,235.0,646.5,1260.5,2408.8,3173.6,153.9,86.7,2.2
0.049120,628.6,57.4,1265.3,76.4,2363.4,105.7,3251.5,230.1,644.8,1259.2,2387.1,3180.1,153.7,86.7,4.3
0.051120,626.9,51.8,1265.2,74.1,2351.2,77.3,3254.3,221.2,642.9,1257.9,2367.5,3184.8,153.6,86.7,6.9
0.053120,626.1,49.9,1263.2,78.0,2346.7,64.3,3229.8,213.8,640.9,1256.7,2350.4,3187.6,153.4,86.7,9.5
