time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025367,461.9,99.6,1665.0,154.0,2529.1,120.1,3744.9,412.4,464.3,1688.7,2530.8,3752.3,120,81.4,3.4
0.027367,468.4,101.8,1696.1,145.0,2542.1,127.2,3762.9,381.2,465.5,1695.9,2535.1,3760.3,119.8,81.7,4.8
0.029367,470.9,100.8,1714.6,135.5,2550.2,122.5,3774.1,357.4,467.3,1707.4,2541.7,3770.7,119.5,81.9,6.4
0.031367,469.4,90.8,1727.4,127.4,2551.6,110.8,3776.0,360.4,469.3,1722.6,2549.4,3779.8,119.2,82.1,8
0.033367,468.6,80.8,1744.0,123.8,2550.4,102.2,3769.3,404.1,471,1740.6,2557.2,3784,118.8,82.2,9.1
0.035367,470.3,78.7,1769.8,124.8,2552.3,101.0,3765.2,485.4,472.1,1760.4,2564.2,3780.1,118.4,82.3,9.6
0.037367,471.4,79.9,1793.6,123.5,2559.2,102.0,3776.9,562.8,472.3,1781,2569.7,3766.9,118.1,82.4,10
0.039367,469.8,75.6,1810.7,117.6,2568.5,99.6,3792.0,628.3,471.4,1801.3,2573.5,3745.2,117.6,82.4,10.1
0.041367,467.2,66.6,1823.3,111.9,2577.5,98.3,3776.0,748.9,469.3,1820.3,2575.6,3717.6,117.2,82.5,10.1
0.043367,465.8,61.8,1832.4,115.0,2583.8,106.0,3700.4,942.3,466.2,1837.4,2576.8,3688.7,116.8,82.4,9.9
0.045367,464.4,63.5,1839.8,128.8,2587.8,123.8,3593.7,1155.8,462.3,1852.1,2577.7,3663.7,116.4,82.4,9.5
0.047367,461.0,64.2,1847.3,139.4,2588.8,135.4,3554.5,1238.8,458,1864.3,2579.2,3647.7,115.9,82.3,8.7
0.049367,456.6,60.1,1857.5,139.9,2586.3,134.1,3616.6,1069.7,453.5,1874.1,2581.9,3644.3,115.5,82.1,7.9
0.051367,451.9,58.0,1875.0,137.5,2585.7,128.2,3694.0,756.8,449.2,1882,2586.2,3655.1,115,81.9,7.3
0.053367,446.5,63.8,1894.8,137.4,2589.2,127.5,3732.7,569.4,445.1,1888.6,2592,3679.4,114.6,81.7,7.1
0.055367,439.5,71.9,1907.2,133.9,2593.2,129.0,3753.3,502.0,441.5,1894.7,2598.6,3713.6,114.1,81.5,7.6
0.057367,433.1,74.8,1912.8,125.9,2596.9,129.3,3766.1,502.8,438.3,1900.9,2605.3,3752.6,113.7,81.2,8.6
0.059367,430.4,76.5,1917.6,122.0,2602.7,130.9,3783.6,538.5,435.2,1908,2611.1,3790.3,113.2,80.9,9.7
0.061367,430.6,83.3,1925.0,130.8,2610.7,135.8,3810.2,584.4,432.2,1916.2,2614.8,3820.9,112.8,80.5,10.7
0.063367,430.1,88.4,1933.0,149.6,2615.7,137.6,3822.5,594.0,429,1925.5,2615.9,3840,112.4,80.2,11.1
0.065367,426.8,83.5,1939.7,164.2,2617.5,131.5,3821.8,561.3,425.4,1935.7,2613.9,3845.4,112,79.9,10.9
0.067367,422.7,75.1,1944.0,169.8,2617.7,120.5,3820.6,513.7,421.3,1946.3,2609.1,3837.8,111.6,79.7,10.2
0.069367,419.3,75.1,1945.4,177.5,2612.7,113.2,3818.0,476.4,416.7,1956.4,2602,3820,111.2,79.5,9.3
0.071367,415.0,86.5,1945.1,196.4,2599.9,114.5,3805.5,447.5,411.7,1965.4,2593.6,3797.1,110.9,79.2,8.4
0.073367,408.3,96.8,1946.8,217.8,2584.0,122.2,3786.0,419.9,406.4,1972.5,2585.2,3774.9,110.5,79,7.9
0.075367,401.7,93.5,1954.5,231.0,2574.1,131.9,3774.9,398.3,401.1,1977.1,2577.8,3758.9,110.2,78.8,7.7
0.077367,395.7,85.2,1970.6,246.0,2570.3,145.6,3767.7,388.0,396,1979,2572.3,3753.1,109.9,78.6,7.7
0.079367,389.6,84.0,1994.0,280.6,2568.5,164.0,3764.0,387.4,391.3,1978.4,2569.2,3759.3,109.7,78.3,7.8
0.081367,382.8,90.4,2018.8,343.2,2563.6,182.9,3771.2,385.2,387.2,1975.7,2568.5,3776.8,109.4,78.1,7.9
0.083367,377.8,91.9,2028.9,403.7,2558.7,189.3,3790.9,374.3,383.8,1971.6,2569.8,3802.3,109.2,77.8,7.9
0.085367,376.7,84.1,2009.0,421.0,2559.3,182.2,3814.6,379.2,381.2,1967.1,2572.2,3830.7,108.9,77.5,7.6
0.087367,378.9,77.2,1960.3,390.4,2565.6,176.5,3839.7,434.2,379.3,1963.1,2574.9,3856.5,108.7,77,7.3
0.089367,382.7,82.6,1918.9,341.4,2579.7,201.4,3869.8,506.3,378.2,1960.3,2576.9,3874.4,108.5,76.5,6.9
0.091367,384.7,103.1,1906.9,316.4,2606.5,292.0,3911.6,528.3,377.8,1959.3,2577.6,3880.8,108.3,75.8,6.6
