time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025181,591.6,181.6,1322.8,98.1,2303.7,245.3,3251.3,793.7,599.2,1313.7,2264.4,3283.9,216.5,85.8,1.7
0.027181,600.8,198.5,1313.6,82.9,2274.8,280.2,3280.6,576.5,604.8,1312.1,2260.4,3271.4,216.5,85.9,1.8
0.029181,614.1,210.8,1306.3,75.1,2233.8,327.0,3273.7,416.3,613.4,1310.3,2254,3254.8,216.3,86,1.8
0.031181,631.9,217.2,1303.8,75.0,2205.7,353.6,3260.6,322.2,624.2,1309.5,2245.6,3239.5,216.1,85.9,1.8
0.033181,646.5,212.3,1306.6,81.8,2208.5,331.7,3246.7,286.6,636.1,1311.4,2235.9,3230.9,215.9,85.9,1.9
0.035181,652.5,202.5,1314.6,99.2,2220.9,283.5,3231.1,291.6,647.7,1317.8,2225.8,3233.4,215.7,85.8,2.3
0.037181,653.7,197.0,1328.2,131.5,2225.1,247.9,3222.6,338.6,657.8,1330.6,2216.2,3249.4,215.5,85.8,3.1
0.039181,658.6,191.9,1351.2,178.7,2225.2,228.8,3240.7,429.3,665.3,1351.1,2208.2,3278.2,215.2,85.8,4.3
0.041181,666.6,177.2,1387.3,230.0,2224.0,215.0,3302.3,537.9,669.6,1380.4,2203.1,3316.8,214.9,85.9,5.6
0.043181,670.4,155.6,1430.7,268.4,2219.0,200.6,3386.0,597.4,670.3,1418.5,2201.7,3360,214.6,86,6.8
0.045181,667.8,138.5,1469.5,294.2,2211.4,188.5,3440.3,590.1,667.6,1464.5,2204.7,3401.8,214.3,86.2,7.8
0.047181,661.0,124.1,1509.6,319.9,2205.3,178.1,3460.7,545.6,662.3,1516,2212.1,3436.6,214,86.4,8.6
0.049181,653.1,106.8,1558.7,342.8,2206.2,171.9,3459.7,481.9,655.2,1570,2223.6,3460.5,213.7,86.5,9.2
0.051181,647.0,85.5,1618.4,350.9,2217.5,173.4,3449.6,425.6,647.7,1622.6,2238.3,3471.9,213.3,86.7,9.7
0.053181,643.2,65.6,1673.9,335.2,2240.7,177.0,3441.0,405.8,641.1,1669.4,2254.6,3471.8,213,86.8,10.1
0.055181,640.5,51.3,1709.5,307.7,2270.2,170.1,3441.5,434.7,636.3,1706.5,2270.8,3463.1,212.6,86.8,10.3
0.057181,638.3,44.1,1727.0,289.4,2294.6,155.7,3449.5,500.4,633.9,1730.7,2285.2,3450.2,212.3,86.7,10.2
0.059181,636.7,43.2,1735.4,291.8,2312.1,147.0,3457.7,582.2,634.2,1740,2295.9,3437.4,211.9,86.6,9.9
0.061181,636.3,48.4,1735.3,322.9,2319.8,153.4,3456.6,623.0,636.5,1733.9,2301.7,3428.1,211.5,86.4,9.5
0.063181,637.3,56.7,1723.6,380.8,2314.0,171.1,3443.7,589.6,640,1713.6,2301.7,3424,211.2,86.2,9
0.065181,638.9,65.9,1693.3,456.7,2292.3,186.8,3424.6,517.4,643.3,1681.4,2295.8,3424.7,210.8,86,8.5
0.067181,640.4,77.7,1644.1,528.6,2265.7,187.9,3410.9,452.2,645.2,1641.1,2284.3,3428.3,210.4,85.8,8
0.069181,641.0,97.0,1583.2,582.3,2246.5,180.6,3407.3,414.3,644.5,1596.4,2268.3,3431.6,210.1,85.5,7.4
0.071181,638.8,123.3,1531.6,605.9,2238.7,177.8,3413.7,415.1,640.5,1551.5,2249.1,3431.7,209.7,85.1,6.8
0.073181,633.1,149.3,1500.2,602.8,2234.5,181.7,3425.3,436.2,633.3,1509.4,2228.3,3426.2,209.3,84.7,6.1
0.075181,626.9,168.8,1483.7,584.9,2223.9,187.1,3430.9,444.8,623.3,1472.8,2207.4,3414.6,208.9,84.2,5.3
0.077181,621.4,184.9,1463.5,563.4,2202.2,185.8,3418.4,425.9,611.8,1443,2188.2,3398.1,208.6,83.5,4.4
0.079181,614.0,201.1,1433.6,538.2,2176.9,174.6,3394.1,392.9,600.4,1420.4,2171.8,3379.4,208.2,82.6,3.4
0.081181,600.3,219.1,1399.7,499.3,2155.6,157.8,3367.7,361.0,590.6,1404.9,2159.4,3362.3,207.8,81.6,2.4
0.083181,580.2,236.1,1379.9,447.9,2144.1,148.1,3345.8,349.1,584.1,1396,2151.6,3350.3,207.4,80.3,1.4
0.085181,559.1,256.8,1393.8,397.7,2144.1,160.7,3322.4,378.4,581.8,1393,2149,3345.9,207,78.9,0.5
