time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.026000,554.1,207.0,982.0,152.0,2718.0,177.8,3939.6,252.8,574.9,966.4,2721.4,3927.8,208.5,78,14.7
0.028000,562.0,213.5,978.5,148.5,2714.8,173.2,3920.5,220.2,576.5,968.4,2723.4,3924.6,207.9,79.3,22.6
0.030000,571.4,219.4,976.1,144.8,2713.0,171.4,3901.6,188.4,578.9,971.6,2726.6,3919.4,207.2,80.3,21.8
0.032000,582.0,224.8,974.9,142.9,2719.2,173.4,3889.7,166.4,582.2,975.6,2731,3912.4,206.6,81.1,16.8
0.034000,592.3,225.0,975.3,140.4,2733.6,181.2,3887.1,165.6,586.1,980.2,2736.3,3903.8,205.8,81.7,12.2
0.036000,600.7,214.6,977.7,134.2,2750.9,190.8,3896.1,203.2,590.4,984.9,2742.3,3894,205.1,82.2,11.7
0.038000,607.5,201.1,981.6,129.2,2764.8,186.0,3910.8,286.6,594.9,989.4,2748.9,3883.3,204.3,82.4,11.6
0.040000,614.4,193.2,985.8,130.9,2775.8,163.0,3900.6,379.1,599.3,993.2,2755.8,3872.1,203.5,82.6,11.2
0.042000,619.7,187.9,989.7,136.5,2780.4,131.8,3867.3,351.6,603.4,996,2762.8,3860.7,202.7,82.7,10.6
0.044000,620.9,180.5,992.0,138.4,2778.7,103.5,3848.7,262.7,606.9,997.4,2769.7,3849.5,201.8,82.7,10
0.046000,618.6,171.9,992.6,133.7,2775.7,81.4,3837.3,181.8,609.8,997.4,2776.3,3838.9,201,82.7,9.6
0.048000,614.3,166.2,991.7,124.4,2775.0,69.7,3828.9,134.2,611.7,995.8,2782.6,3829.2,200.2,82.7,9.1
0.050000,608.7,163.8,989.9,112.4,2776.9,66.9,3820.4,109.7,612.7,992.7,2788.5,3820.7,199.3,82.6,8.6
0.052000,602.1,161.5,987.3,98.9,2782.0,71.1,3812.2,99.0,612.6,988.2,2793.9,3813.6,198.5,82.7,8.2
0.054000,596.3,155.7,983.9,87.3,2791.6,78.2,3808.2,96.3,611.6,982.5,2798.8,3808,197.7,82.8,8.1
0.056000,592.5,146.5,979.7,79.0,2805.9,83.0,3809.4,95.7,609.5,976,2803.4,3803.9,197,82.9,8.4
0.058000,590.9,139.0,974.6,75.5,2818.1,83.7,3810.5,91.9,606.6,969,2807.6,3801.5,196.3,83.1,9.2
0.060000,591.4,138.9,968.9,76.5,2821.3,83.3,3805.9,85.3,603,961.9,2811.6,3800.6,195.6,83.2,10.2
0.062000,593.4,147.3,962.4,79.7,2818.0,85.0,3797.5,80.8,598.9,955,2815.5,3801.1,195,83.4,11.3
0.064000,595.7,164.0,956.1,83.0,2813.9,90.3,3791.1,83.7,594.5,948.8,2819.4,3802.9,194.4,83.4,12.2
0.066000,597.9,191.2,950.3,87.0,2812.6,99.7,3788.1,97.5,590,943.4,2823.3,3805.6,193.9,83.3,12.6
0.068000,599.5,231.8,944.1,90.8,2815.5,108.9,3789.5,125.6,585.6,939.1,2827.5,3809.2,193.4,83.1,12.7
0.070000,598.8,279.0,937.7,90.5,2821.6,110.2,3795.0,165.9,581.6,935.9,2831.9,3813.3,193.1,82.8,12.6
0.072000,593.1,328.5,932.1,83.9,2829.1,104.1,3802.9,215.9,578.1,933.9,2836.5,3817.7,192.8,82.5,12.3
0.074000,581.4,375.1,928.7,72.2,2837.8,96.2,3814.2,260.4,575.3,932.9,2841.4,3822.1,192.6,82.2,12
0.076000,568.9,405.2,927.9,61.5,2847.2,91.6,3830.9,264.3,573.2,932.8,2846.5,3826.5,192.5,81.9,11.7
0.078000,560.9,408.4,928.6,54.7,2858.3,89.9,3849.8,222.7,572,933.4,2851.7,3830.5,192.5,81.7,11.2
0.080000,561.2,372.4,929.6,53.7,2868.4,88.0,3859.4,173.3,571.6,934.4,2857.1,3834.1,192.5,81.6,10.7
0.082000,565.6,311.2,930.3,56.7,2874.8,83.4,3861.6,141.9,572,935.7,2862.4,3837.4,192.7,81.6,10.2
0.084000,570.1,256.5,930.4,61.1,2877.4,78.3,3861.0,134.0,573,936.9,2867.5,3840.1,193,81.5,9.8
0.086000,574.3,230.2,931.4,63.6,2879.5,76.0,3858.3,149.8,574.6,938.1,2872.5,3842.6,193.3,81.6,9.6
0.088000,580.4,231.4,934.6,61.9,2885.0,76.6,3852.8,185.1,576.5,939,2877.1,3844.8,193.8,81.6,9.8
0.090000,588.3,259.2,937.9,56.6,2892.3,78.8,3849.4,221.6,578.6,939.8,2881.3,3847,194.3,81.5,10.2
0.092000,595.9,313.1,940.0,49.9,2896.9,83.1,3850.8,240.9,580.6,940.6,2885.1,3849.3,194.9,81.5,10.5
0.094000,597.7,396.3,941.2,43.4,2895.0,92.3,3852.4,234.4,582.2,941.6,2888.5,3852,195.7,81.4,10.5
