time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.026011,654.7,144.8,1142.0,217.2,2381.9,276.4,3099.1,69.0,683.3,1223.1,2496.9,3133.5,164.4,85.3,4.3
0.028011,678.0,174.4,1179.0,333.5,2451.9,349.8,3134.8,66.0,684.8,1219.1,2491.8,3137.2,164.5,85.7,6.1
0.030011,695.8,184.5,1222.6,425.0,2507.0,372.0,3158.7,59.4,687.2,1213.4,2484.1,3143,164.6,86.1,8.1
0.032011,701.9,184.6,1244.9,423.3,2523.5,347.6,3167.3,55.1,690.4,1207.2,2474.5,3150.4,164.7,86.4,9.9
0.034011,703.9,188.4,1245.0,382.5,2514.0,307.1,3167.2,51.5,694.4,1201.9,2464,3158.6,164.8,86.7,11.2
0.036011,705.5,198.3,1236.8,347.2,2489.5,267.7,3164.5,47.4,698.8,1199,2453.8,3167,164.9,87,11.8
0.038011,706.6,212.0,1229.6,326.3,2464.1,243.0,3165.4,44.5,703.5,1200,2444.7,3174.8,165,87.2,11.5
0.040011,708.5,226.9,1227.8,315.0,2449.7,238.8,3173.2,44.1,708.2,1205.8,2437.5,3181.4,165.1,87.4,10.8
0.042011,712.5,243.5,1231.2,311.9,2447.4,251.9,3187.7,45.5,712.8,1217.1,2432.6,3186.3,165.2,87.5,9.9
0.044011,718.9,259.2,1237.9,323.8,2449.9,268.5,3201.7,47.3,717,1233.9,2429.9,3189.3,165.3,87.6,9.4
0.046011,725.9,268.2,1246.9,353.6,2445.3,272.5,3208.0,49.0,720.4,1255.6,2429,3190.2,165.4,87.7,9.4
0.048011,730.0,263.6,1260.3,395.8,2431.5,261.6,3205.4,50.9,723,1281.3,2429.2,3189.3,165.6,87.7,9.9
0.050011,728.4,244.9,1278.3,437.9,2413.5,244.5,3195.5,53.0,724.4,1309.3,2429.5,3187,165.7,87.7,10.7
0.052011,723.5,221.7,1299.5,481.7,2395.5,230.7,3182.1,55.1,724.5,1338.1,2428.8,3183.7,165.8,87.6,11.4
0.054011,716.7,196.9,1328.6,536.6,2380.4,222.6,3168.2,57.1,723.1,1365.9,2426,3180.2,165.8,87.5,12
0.056011,709.0,174.8,1368.5,590.5,2375.5,222.0,3159.1,60.4,720.2,1391.1,2420.4,3177.2,165.9,87.4,12.1
0.058011,702.1,159.9,1412.5,623.2,2379.9,225.6,3156.4,66.0,715.7,1412.7,2411.6,3175.2,166,87.3,11.8
0.060011,696.6,153.0,1452.2,626.4,2385.5,225.8,3158.7,72.0,709.6,1429.8,2399.5,3174.8,166.1,87.2,11.3
0.062011,692.8,154.4,1477.9,601.5,2385.7,218.3,3163.9,75.0,701.9,1442.5,2384.6,3176.5,166.1,87,10.7
0.064011,690.1,162.4,1488.0,559.0,2381.4,205.5,3170.4,75.6,692.8,1451.3,2368,3180.3,166.2,86.8,10.2
0.066011,686.5,177.5,1484.5,501.1,2375.6,189.4,3180.5,76.3,682.4,1457.1,2351.1,3186.4,166.2,86.5,9.9
0.068011,680.4,195.3,1472.8,434.5,2370.7,173.0,3198.1,78.6,670.9,1461.4,2335.6,3194.5,166.2,86.3,9.8
0.070011,671.2,208.3,1463.3,370.6,2366.4,158.0,3224.1,81.0,658.4,1465.9,2323.2,3204.2,166.2,86,9.8
0.072011,660.6,212.0,1462.8,326.2,2360.8,147.7,3249.8,80.9,645.2,1471.9,2315.6,3215.2,166.2,85.7,9.8
0.074011,648.0,208.2,1472.5,302.9,2352.5,145.8,3267.8,81.5,631.5,1480.9,2314.2,3226.9,166.1,85.4,9.7
0.076011,631.9,197.6,1488.4,292.0,2341.6,153.4,3272.4,90.6,617.6,1493.6,2320,3238.7,166.1,85.1,9.2
0.078011,610.8,178.4,1501.8,271.9,2328.7,163.2,3263.4,115.7,603.6,1510.2,2333.3,3250.2,166,84.8,8.5
0.080011,585.7,156.2,1514.3,240.0,2320.0,175.3,3241.7,148.6,589.7,1530.4,2353.8,3261.1,166,84.6,7.7
0.082011,563.6,144.1,1532.3,218.7,2329.0,205.4,3232.8,151.9,576.1,1553.1,2380.5,3270.9,165.9,84.5,6.8
0.084011,547.0,137.2,1555.6,207.3,2357.1,250.1,3243.5,135.1,562.8,1576.5,2411.9,3279.6,165.8,84.3,6
0.086011,533.1,126.8,1585.6,196.3,2399.1,296.3,3259.6,117.0,550.2,1598.7,2446.1,3287.3,165.7,84.1,5.3
0.088011,521.1,114.3,1619.3,184.3,2446.3,334.9,3273.9,109.5,538.1,1617.4,2480.9,3293.9,165.5,83.9,4.7
0.090011,511.6,104.0,1646.5,172.0,2495.6,359.3,3285.6,111.3,526.7,1630.5,2514,3299.8,165.4,83.5,4.2
0.092011,505.1,96.8,1660.2,161.4,2548.4,357.9,3300.2,114.2,516.1,1636.3,2543.5,3305.1,165.3,83,3.8
0.094011,502.0,92.9,1656.5,154.1,2593.9,322.6,3319.5,107.2,506.2,1633.7,2567.7,3310.2,165.1,82.3,3.6
0.096011,501.3,93.9,1641.9,149.2,2625.1,268.0,3335.2,89.2,497.1,1622.3,2585.6,3315.1,165,81.5,3.6
0.098011,501.8,102.7,1621.8,151.6,2643.5,218.6,3345.0,70.9,488.9,1602.4,2596.7,3320,164.8,80.4,4.1
0.100011,503.2,120.0,1593.5,172.0,2645.3,199.6,3351.4,65.6,481.5,1575.5,2601.3,3324.9,164.7,79.2,4.7
0.102011,505.5,146.5,1549.0,210.6,2634.0,200.1,3355.1,72.5,475,1543.6,2600.3,3329.9,164.5,77.9,5.4
0.104011,504.0,184.8,1477.4,247.6,2616.1,206.5,3356.0,89.1,469.5,1509.4,2595.1,3334.6,164.4,76.5,5.9
0.106011,491.8,225.7,1403.4,243.8,2601.4,226.1,3353.8,113.5,464.9,1475.8,2587.4,3339,164.2,75.1,6
0.108011,471.9,273.1,1371.5,225.1,2592.5,301.3,3351.5,145.4,461.3,1445.7,2578.9,3342.7,164.1,73.7,5.8
0.110011,450.0,366.4,1392.2,240.2,2572.8,542.9,3342.3,172.6,458.7,1422.1,2571.5,3345.6,164,72.5,5.5
0.112011,424.2,477.9,1444.2,286.2,2499.5,964.3,3317.3,157.0,457.1,1407,2566.4,3347.4,163.8,71.5,5.1
0.114011,408.2,539.6,1500.4,323.2,2506.5,1250.9,3299.3,152.2,456.6,1401.7,2564.6,3348,163.7,70.7,4.9
