"inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word"
"bnew_06,bnew_06_0020,ɛ,40,0.08999999999991815,766.97,767.06,-,-,0,person,1661,766.88,767.34,every,-"
"bnew_06,bnew_06_0021,ɒ,42,0.05000000000006821,768.18,768.23,-,-,0,worked,1665,768.02,768.41,had,-"
"bnew_06,bnew_06_0022,ɛ,44,0.078794793121574,812.0397485357707,812.1185433288923,-,-,0,university,1759,811.56,813.26,-,Pension"
"bnew_06,bnew_06_0023,ɑ,46,0.1392503298312704,897.2907496701687,897.43,-,-,0,Sir,1839,897.1,897.63,its,and"
"bnew_06,bnew_06_0024,ɛ,48,0.09175827700823902,922.7582417229918,922.85,-,-,0,university,1881,922.73,922.96,each,-"
"bnew_07,bnew_07_0001,ɜ,2,0.08000000000000007,1.79,1.87,-,-,0,thirty,9,1.7,1.99,on,nine"
"bnew_07,bnew_07_0002,æ,4,0.04999999999999982,7.91,7.96,-,-,0,early,29,7.91,8.18,the,morning"
"bnew_07,bnew_07_0003,æ,6,0.10039920583520257,171.89781883380937,171.99821803964457,-,-,0,commercial,315,171.32,172.58,-,University"
"bnew_07,bnew_07_0004,ɒ,8,0.0951150371070355,200.03026152841895,200.12537656552598,-,-,0,workshop,353,199.75,200.32,and,-"
"bnew_07,bnew_07_0005,ɛ,10,0.12630842633967632,216.22369157366032,216.35,-,-,0,university,402,215.99,216.35,-,-"
"bnew_07,bnew_07_0006,ɒ,12,0.12682004947600944,275.60026932491314,275.72708937438915,-,-,0,worthy,555,275.44,275.72,-,-"
"bnew_07,bnew_07_0007,æ,14,0.1532408931169016,360.4784336127703,360.6316745058872,-,-,0,university,763,360.43,360.79,the,featured"
"bnew_07,bnew_07_0008,ɒ,16,0.10039920583517414,362.51356750414385,362.613966709979,-,-,0,workshop,767,362.32,362.75,repairs,identification"
"bnew_07,bnew_07_0009,ɒ,18,0.129398327021363,409.17060167297865,409.3,-,-,0,workshop,846,409.02,409.3,Centre,Distance"
