time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.026000,405.4,1002.2,1515.2,65.8,2488.6,291.7,3485.8,110.6,477.6,1536.7,2362.4,3450,0,73.3,-2.7
0.028000,490.7,607.8,1514.3,47.4,2456.7,277.2,3488.3,94.8,477.4,1536.3,2363,3449.6,0,74.2,-2.3
0.030000,500.5,439.5,1514.1,41.2,2413.3,257.6,3487.5,95.8,477.1,1535.6,2364,3449,0,75.2,-1.6
0.032000,495.8,377.1,1517.3,41.4,2393.1,247.7,3480.0,129.7,476.6,1534.7,2365.3,3448.2,0,76.2,-0.7
0.034000,486.3,361.4,1522.9,43.4,2395.0,259.2,3464.2,196.6,476.1,1533.6,2367,3447.1,0,77.1,0.2
0.036000,476.2,358.8,1530.7,45.5,2408.5,282.1,3438.9,263.1,475.5,1532.3,2369.1,3445.8,0,77.9,1
0.038000,469.1,353.6,1539.3,47.3,2417.9,292.9,3419.5,274.4,474.7,1530.7,2371.5,3444.3,0,78.7,1.8
0.040000,465.9,332.1,1544.7,47.2,2410.3,279.3,3405.9,261.5,473.9,1528.9,2374.2,3442.6,121.3,79.3,2.7
0.042000,465.6,294.4,1544.8,44.6,2394.9,253.6,3400.8,232.2,473.1,1526.9,2377.3,3440.7,121.1,79.9,3.6
0.044000,467.8,253.1,1540.6,41.7,2378.9,233.2,3409.2,197.4,472.2,1524.8,2380.6,3438.6,120.8,80.3,4.5
0.046000,471.4,221.3,1533.4,40.0,2358.8,221.6,3422.2,171.5,471.2,1522.5,2384.3,3436.3,120.6,80.7,5.3
0.048000,475.1,202.9,1523.4,38.9,2331.3,214.7,3436.5,160.1,470.2,1520.1,2388.2,3433.9,120.3,81,6.3
0.050000,476.8,193.4,1514.2,36.9,2311.6,211.1,3447.2,175.1,469.3,1517.5,2392.3,3431.4,120,81.2,7.3
0.052000,477.6,181.6,1507.6,34.9,2314.7,216.5,3446.3,223.3,468.4,1514.9,2396.7,3428.7,119.7,81.5,8.2
0.054000,478.7,163.1,1500.7,33.9,2339.6,233.9,3430.8,253.6,467.5,1512.3,2401.3,3425.9,119.3,81.7,8.7
0.056000,478.7,143.3,1492.3,34.6,2375.1,254.8,3421.6,212.9,466.6,1509.6,2406,3423,119,81.9,8.8
0.058000,476.1,125.9,1485.6,36.4,2398.4,273.5,3418.0,168.3,465.9,1506.8,2410.9,3420,118.6,82,8.3
0.060000,472.6,108.6,1485.2,38.8,2397.7,294.5,3413.4,138.9,465.2,1504.1,2416,3417,118.2,82.2,7.4
0.062000,470.9,93.6,1492.5,43.0,2380.9,322.8,3408.0,126.1,464.6,1501.5,2421.1,3413.9,117.8,82.3,6.5
0.064000,470.9,82.9,1504.8,50.3,2366.9,369.4,3401.2,126.6,464.2,1498.9,2426.4,3410.8,117.4,82.4,5.8
0.066000,469.7,73.0,1519.8,59.1,2360.1,442.8,3391.6,126.8,463.9,1496.4,2431.7,3407.6,117,82.6,5.6
0.068000,466.1,63.1,1529.1,61.5,2360.6,522.2,3385.8,115.3,463.8,1494,2437.1,3404.5,116.5,82.6,5.7
0.070000,462.3,55.8,1528.0,57.6,2370.9,590.7,3387.8,102.5,463.8,1491.8,2442.5,3401.4,116.1,82.7,5.9
0.072000,459.4,53.0,1518.7,53.2,2395.2,656.4,3395.3,97.2,464.1,1489.7,2447.9,3398.3,115.6,82.7,6.2
0.074000,456.9,55.6,1504.9,51.6,2422.7,702.4,3403.9,101.1,464.5,1487.8,2453.3,3395.2,115.2,82.7,6.4
0.076000,454.2,60.6,1494.2,51.0,2435.8,693.7,3407.9,106.8,465.1,1486.1,2458.7,3392.2,114.7,82.7,6.3
0.078000,452.0,66.9,1489.7,48.9,2445.8,631.8,3404.2,112.8,465.9,1484.7,2464.1,3389.3,114.3,82.6,6
0.080000,451.8,79.0,1489.0,44.8,2476.6,575.8,3392.1,123.4,467,1483.4,2469.4,3386.4,113.8,82.5,5.6
0.082000,452.8,100.5,1487.4,39.4,2521.4,564.5,3375.5,132.9,468.2,1482.5,2474.6,3383.6,113.3,82.2,5.1
0.084000,453.4,127.1,1483.7,33.1,2562.4,594.1,3359.9,132.9,469.7,1481.8,2479.8,3381,112.9,81.9,4.7
0.086000,453.9,142.0,1479.8,27.7,2577.4,651.7,3350.3,121.8,471.3,1481.4,2484.9,3378.4,112.4,81.4,4.3
0.088000,457.2,143.4,1476.7,25.2,2552.9,706.6,3346.5,103.5,473.1,1481.3,2489.9,3375.9,112,80.8,3.9
0.090000,464.9,146.2,1473.9,26.5,2499.3,722.4,3348.8,84.7,475.2,1481.5,2494.8,3373.6,111.5,80.2,3.5
0.092000,474.6,162.1,1471.9,33.5,2465.9,691.5,3356.3,76.5,477.4,1481.9,2499.6,3371.3,111.1,79.5,3.1
0.094000,481.8,185.4,1473.2,46.6,2464.1,658.5,3365.0,78.4,479.8,1482.7,2504.3,3369.2,110.7,78.8,2.9
0.096000,488.2,197.6,1480.9,64.7,2469.5,633.4,3373.5,87.5,482.3,1483.9,2508.9,3367.2,110.3,78.1,2.9
0.098000,497.8,195.9,1492.8,82.7,2480.6,607.4,3380.0,108.1,485,1485.3,2513.4,3365.3,109.9,77.6,3.1
0.100000,506.5,197.2,1501.7,97.6,2506.0,587.9,3379.6,139.7,487.8,1487,2517.8,3363.6,109.5,77.4,3.4
0.102000,507.0,200.6,1503.3,103.0,2541.7,583.1,3368.5,161.6,490.7,1489,2522.1,3361.9,109.1,77.3,3.7
0.104000,499.6,187.1,1499.8,93.2,2568.3,575.1,3356.8,155.0,493.7,1491.3,2526.3,3360.4,108.8,77.5,4
0.106000,497.2,166.0,1499.8,85.3,2578.9,545.8,3354.1,146.9,496.7,1493.9,2530.4,3359,108.4,77.7,3.9
0.108000,502.4,161.6,1505.1,91.3,2587.7,492.9,3361.2,155.1,499.8,1496.8,2534.4,3357.7,108.1,77.8,3.7
0.110000,508.8,180.5,1510.8,109.5,2603.3,446.7,3372.5,164.9,502.9,1499.9,2538.3,3356.5,107.8,78,3.4
0.112000,511.3,205.5,1511.1,125.2,2614.6,421.3,3378.6,155.3,506,1503.2,2542.1,3355.4,107.5,78,3.1
0.114000,514.0,207.1,1507.4,126.8,2614.5,411.4,3379.0,135.6,509.1,1506.8,2545.8,3354.3,107.2,78,2.9
0.116000,523.0,184.7,1505.4,121.7,2599.1,416.8,3375.7,117.2,512.1,1510.5,2549.5,3353.4,106.9,78,2.9
0.118000,534.8,168.1,1507.4,125.6,2570.7,424.8,3368.6,104.3,515,1514.5,2553,3352.5,106.6,78,3
0.120000,540.5,170.0,1511.1,146.7,2547.9,407.6,3360.5,94.0,517.9,1518.6,2556.5,3351.7,106.4,78.1,3.3
0.122000,536.1,178.5,1513.2,187.4,2533.9,374.1,3355.0,83.4,520.6,1522.8,2559.9,3351,106.1,78.1,3.6
0.124000,527.5,174.6,1511.3,234.8,2523.6,347.0,3352.5,75.7,523.2,1527.2,2563.3,3350.3,105.9,78.2,4
0.126000,523.6,160.0,1506.9,257.5,2522.9,334.2,3349.3,75.3,525.6,1531.6,2566.5,3349.7,105.7,78.2,4.5
0.128000,526.3,147.6,1506.4,241.3,2546.6,329.7,3341.0,86.3,527.9,1536.1,2569.7,3349.1,105.5,78.2,5.1
0.130000,532.3,143.6,1511.8,214.6,2585.1,312.7,3330.5,100.3,530,1540.7,2572.8,3348.5,105.3,78.1,5.8
0.132000,536.1,140.0,1518.9,197.3,2608.1,285.0,3328.2,100.6,531.8,1545.2,2575.8,3347.9,105.1,78,6.4
0.134000,536.5,130.2,1525.1,182.3,2613.5,266.7,3334.6,92.4,533.5,1549.8,2578.8,3347.4,104.9,77.9,6.8
0.136000,536.7,122.1,1530.5,170.1,2604.3,273.8,3345.2,85.7,534.9,1554.3,2581.6,3346.9,104.8,77.9,6.9
